,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
SOX14,203.721052211198,3.18740010687753,0.266446212126176,11.9626399694064,5.57605154664197e-33,3.76216197851934e-29,up
ASCL4,229.088110013103,3.40675884856784,0.301405994823369,11.3028901451157,1.26969304548287e-29,1.71332379557459e-26,up
DAZL,313.389266312291,3.50783172329831,0.314037069733827,11.170119904225,5.71037439522325e-29,6.42131600742855e-26,up
FBXL13,702.655638890662,2.44651846282099,0.223734931100072,10.9348971606348,7.84949284840879e-28,6.62006603102677e-25,up
CRABP1,186.367508205019,2.76736864240806,0.2773361914988,9.9783898648512,1.89517093563254e-23,9.13337021622337e-21,up
EDAR,1112.03674411089,3.04522830765407,0.309143314079713,9.85053911555354,6.81772841547043e-23,2.87495085119869e-20,up
NPTX2,2003.27065262201,2.93767526205992,0.311323272420191,9.43609271232047,3.86939817994701e-21,1.33881177026167e-18,up
HOXB13,536.286726000175,2.85812022843724,0.304598139938156,9.38324911970093,6.3970405280775e-21,2.00748057874134e-18,up
HGC6.3,22.386931271305,1.90567715341206,0.210082284876219,9.07109875796947,1.17822798140841e-19,3.38276774066492e-17,up
KCNA2,167.584088987964,2.23393336432666,0.24983680287685,8.94157041157709,3.8367851581817e-19,9.58769980083405e-17,up
MAPK4,81.478835587777,2.17492613203092,0.246172985679643,8.83495045577932,1.00142632193457e-18,2.32987013589399e-16,up
SP5,370.971376806113,2.00920332538154,0.230796634821292,8.70551395577011,3.16138861694957e-18,6.66559031204961e-16,up
MYBPC1,858.972914925913,1.98706150836546,0.230286751858941,8.628640129427,6.20857014530156e-18,1.25042456030894e-15,up
KIF1A,910.172322681685,2.62326042802572,0.304892640773953,8.60388240715394,7.70639373938283e-18,1.50710256694539e-15,up
SHC4,522.3064581295,1.58390440762564,0.18502704440458,8.56039403711321,1.12482411300193e-17,2.16833951154973e-15,up
MYB,3040.35315313811,1.93181225739364,0.226171296329261,8.54136793106274,1.32642137606031e-17,2.48593472896637e-15,up
PPM1E,56.3995690680535,1.90358123392255,0.226722361590125,8.39608947512598,4.61593952407785e-17,8.30499839172086e-15,up
SEZ6L,158.28942329407,1.64646970371101,0.196777461450201,8.36716609502395,5.90204761738624e-17,1.00812950062038e-14,up
RHBDL3,233.489063335669,1.95868465832643,0.236612627912136,8.27802250289772,1.25237565660722e-16,2.06092159881193e-14,up
POU3F2,394.863369598192,1.62633638361488,0.197007965894494,8.25518083104241,1.51672421739926e-16,2.46586464934767e-14,up
EMID1,968.213948694609,1.58666562910956,0.193341429057125,8.20654754052098,2.27639435319455e-16,3.45142307887722e-14,up
RIPPLY3,297.82799536489,1.87441596915735,0.231405248338556,8.10014458451261,5.48939083098864e-16,8.05150433406094e-14,up
OBP2A,309.689572779378,1.55069536650192,0.19155217177317,8.09542043897161,5.70669022200347e-16,8.28022342534568e-14,up
HOXB9,1137.14621984041,1.28856687212143,0.160064963374964,8.05027436955623,8.26086351959242e-16,1.14919682817918e-13,up
ALKAL2,534.780787205013,1.99521278545871,0.251227743493711,7.94184892843516,1.99189456559343e-15,2.53571936491677e-13,up
MEX3A,3775.65812406886,1.40499484505595,0.179567326442484,7.82433459856614,5.10349029984449e-15,6.26059073691832e-13,up
DZANK1,525.352401815294,1.35024711454828,0.17301982352162,7.80400237999063,5.99740603935395e-15,7.16185815000373e-13,up
COL9A3,4338.95547500581,1.73558455836715,0.227619388990717,7.62494164518617,2.4414480364382e-14,2.65684675836267e-12,up
SLC7A3,20.3537376378002,1.66565873787249,0.218566897842569,7.6208188628465,2.52071464569626e-14,2.70131608110648e-12,up
ADARB2,403.783780101105,1.88658425598454,0.249966907860112,7.54733605394007,4.44251232290695e-14,4.54145918828079e-12,up
KCNB2,347.881279569484,1.30295165107042,0.174538957031743,7.46510505865724,8.32331762017914e-14,8.02248914047838e-12,up
ADGRG2,103.736562736482,1.62177474403031,0.217860859508294,7.44408494343871,9.7618675914798e-14,9.30422657955003e-12,up
IL17RB,901.966100916209,1.32068969472491,0.181512472481189,7.27602724304123,3.43794190280637e-13,3.13456675922089e-11,up
PCOLCE2,879.730305942625,1.42190237166875,0.197667462559429,7.1934063060138,6.31945240289098e-13,5.52936526678947e-11,up
ANKRD6,839.035177188629,1.00492822483209,0.140279992717636,7.1637316581194,7.8510013906161e-13,6.62133829781085e-11,up
ALX3,179.324043514784,1.23526952300106,0.172688826429289,7.15315257242117,8.48072523746764e-13,7.02079180088272e-11,up
CHGB,1501.88368506165,1.74104412734877,0.245108000816888,7.1031713430254,1.21926084542913e-12,9.91126858326546e-11,up
ROPN1L,168.335735089813,1.17087857406544,0.165910250474849,7.05730098480529,1.69767647691836e-12,1.36359799878192e-10,up
CENPV,636.325594692099,1.15799326681256,0.165033840827111,7.01670191403758,2.27166533647067e-12,1.80316776766677e-10,up
H2BFM,669.266000716377,1.12574589730666,0.161621201763665,6.96533551923973,3.27621994429451e-12,2.49770123888758e-10,up
ZBTB8B,19.2954841945013,1.15572187757788,0.166181840418269,6.95456179007892,3.53659607489451e-12,2.65126819081259e-10,up
KIF5C,629.258343714894,1.4928436583958,0.215385284724238,6.9310383033229,4.17762907065267e-12,3.09741355381248e-10,up
PIANP,124.786023704517,1.38038313855669,0.199943227481079,6.90387544478001,5.06026725839144e-12,3.6909862910667e-10,up
FSTL4,493.338661131308,1.66694454059845,0.241839404974255,6.8927747352666,5.47144823458507e-12,3.96944744502639e-10,up
ARNT2,1278.26626357881,1.42845127947327,0.21095800569586,6.77125892786775,1.27666551437291e-11,8.36277885968353e-10,up
TSPEAR,101.74407900218,1.45889096742595,0.215780706330487,6.76098893286378,1.37052994134961e-11,8.89131299450562e-10,up
